aid,series_type,test_subject,video_type,test_brand,title,bili_typeid,duration,publish_time
90496400,正片,书写,电子纸,印象笔记,它才是网课必备工具？_印象笔记EverPEN【值不值得买第415期】,191,10:47,1582250438
89747014,BBT,,日常|美食,,“宅”在家里干什么？第二集【BB Time第255期】,21,14:41,1582077645
89737025,正片,投影仪,影音,极米,有了它，我一周都不想出门_极米H3投影仪【值不值得买第414期】,191,11:32,1581991205
89325929,BBT,,幕后,,待在家，TESTV如何网络协同办公制作节目？【BB Time第254期】,191,16:54,1581818426
88724391,正片,手表,穿戴,小米,时尚定位的“真”大号手环_小米手表Color【值不值得买第413期】,191,9:36,1581645610
88575302,BBT,掌机,开箱|游戏,任天堂,国行Switch开箱，宅在家就拿它解闷儿！【BB Time第253期】,191,8:53,1581559230
88095389,正片,鞋垫,穿戴,米萌,人暖腿，狗暖嘴—米萌智热鞋垫【值不值得买第412期】,191,9:55,1581386435
88065658,BBT,手机,开箱,谷歌,谷歌Google Pixel4开箱【BB Time第252期】,95,8:23,1581472808
87130186,正片,复古相机,摄影,富士,惊奇！照片真的会说话_富士instax mini Liplay【值不值得买第411期】,190,10:32,1581040846
86816937,BBT,,日常,,“宅”在家里干什么？【BB Time第251期】,21,16:37,1580868056
86380942,正片,,平板,华为,这是安卓平板之王？_华为MatePad Pro【值不值得买第410期】,95,13:11,1580781603
85789221,正片,干果机,居家,摩飞,如何健康地打发时间？_摩飞干果机【值不值得买第409期】,191,7:22,1580436028
85250897,正片,电子纸,书写,科大讯飞,过完年了，你可能需要它—科大讯飞智能办公本【值不值得买第408期】,191,7:12,1580176846
84780327,正片,耳机,影音,索尼,糟了，是心动的感觉_Sony Wi-1000XM2【值不值得买第407期】,191,16:14,1579831238
84499542,BBT,防寒服|汽车,旅行,特斯拉,气凝胶防寒服真的有用吗和特斯拉Model X体验【BB Time248期】,21,21:37,1579658428
84356190,BBT,云南|印刷|路由器,旅行|日常,,那些去年存放在草稿箱的BBT【BB Time第250期】,21,38:02:00,1580263240
84281878,BBT,饺子,美食|节日,,新年整蛊！众人被坑吃“芥末”“甘草”味饺子超有年味【BB Time第249期】,76,17:57,1579744834
83822997,正片,音箱,影音,小米,小米竟把平板焊接在智能音响上？_小爱触屏音响Pro8【值不值得买第406期】,191,9:55,1579572047
83744136,正片,暖风机,居家,智米,南方人怎么过冬？智米智能暖风机【值不值得买第405期】,98,8:15,1579226400
83469432,BBT,火锅,美食,海底捞,重庆人第一次吃“海底捞”自制麻辣锅底！【BB Time第247期】,76,13:37,1579053647
83304940,正片,保温杯,日用,,有了这些，你的保温杯就可以扔了？【值不值得买第404期】,191,14:11,1578967215
82845633,其它,,广告,,“我与你的24小时”_TESTV 5周年特别企划说明书,191,2:10,1578736828
82719428,正片,词典笔,教育,有道,单词竟然可以这么查？网易有道词典笔2.0【值不值得买第403期】,191,10:20,1578621618
82633104,BBT,净水器,日常,小米,办公室饮水改造，小米厨上式净水器怎么样？【BB Time第246期】,191,10:24,1578535237
82507656,BBT,体验店,旅行,京东,全球第一家京东“超级体验店”吸引我的竟然是…【BB Time第245期】,191,14:16,1578448820
82449193,其它,,录播,,TESTV年终直播-老板群演做菜录播,21,198:46:00,1578393425
82332861,正片,,电脑,苹果,16寸MacBook Pro贵才能好，好才能贵，买就对了！【值不值得买第402期】,189,23:56,1578362428
81809569,正片,保温杯|烘鞋机|暖手宝,日用,小米,拿着500元能在小米有品买到幸福吗？【值不值得买第401期】,191,14:01,1578016805
81558027,BBT,,旅行|节日,,TESTV集体跳“新宝岛”“爱河”庆元旦【BB Time第244期】,21,21:05,1577844057
81165936,其它,,回顾,,2019年的这几个产品你买了吗？【值不值得买特别篇】,191,24:12:00,1577757620
81015563,BBT,胶片,摄影,,胶片摄影新手入门指南【BB Time第243期】,190,31:20:00,1577584840
80790615,正片,垃圾处理机,居家,永尔佳,面对来自灵魂的拷问，你怕了吗_永尔佳厨余垃圾处理器【值不值得买第400期】,191,12:09,1577412014
80487424,BBT,烤鱼,美食,,全球只有0.02%人每天能吃到的美食【BB Time第242期】,21,15:17,1577239203
80413015,正片,,摄影,佳能,今年圣诞，一起出去拍吧！佳能G7X Mark III【值不值得买第399期】,190,15:58,1577152852
79890523,其它,,幕后,,怎么成为百万粉丝UP主？TESTV现身说法【值不值得买特别篇】,191,11:03,1576807208
79789039,BBT,榆林,旅行,,再次到榆林，和小朋友一起， 仰望星空MV幕后花絮～【BB Time第241期】,21,16:12,1576720836
79677916,其它,,联动,,和孩子们一起《仰望星空》，大家明年要都要更好呀！,193,4:26,1576634422
79508168,正片,耳机,影音,华为,华为用户的福音，舒适度媲美AirPods的真无线耳机_华为FreeBuds 3【值不值得买第398期】,191,20:30,1576548044
79017456,正片,手表,穿戴,小米,仅仅像Apple Watch就够了吗？小米智能手表【值不值得买第397期】,95,12:36,1576202453
78817111,BBT,烤全羊,美食,,吃内蒙古烤全羊扳手腕，谁是TESTV扳手腕之王？【BB Time第240期】,21,17:29,1576029615
78683238,正片,炒菜机,居家,独奏,小伙请朋友吃饭，竟然用这个煮？！朋友竟然…._独奏智能炒菜机【值不值得买第396期】,191,15:01,1575943244
78491410,BBT,徒步,旅行|运动,,4130海拔徒步6天，路途艰险，PY君老板在不断挣扎放弃中能否突破自我？【BB Time第239期】,21,35:58:00,1575784374
78188176,正片,,手机,坚果,坚果pro3还是工匠们的骄傲吗？_坚果pro3【值不值得买第395期】,95,16:32,1575597600
77972879,BBT,徒步,旅行|运动,,去尼泊尔徒步，数码采购狂魔配音君到底买了多少豪华装备？！【BB Time第238期】,191,15:28,1575424853
77850392,正片,,手机,海信,要和Kindle抢饭碗？海信A6，有墨水屏的双屏手机【值不值得买第394期】,95,10:57,1575339331
77334442,正片,,手机,三星,这就是今年的安卓机皇吗？三星Note 10 + 5G版深度体验【值不值得买第393期】,95,20:40,1574992830
77088623,BBT,电脑,开箱,苹果,MacBook Pro16寸纯开箱体验【BB Time第237期】,189,7:19,1574820010
77018275,正片,手表,穿戴,华为,手表，圆形才是王道吗—华为watchGT2【值不值得买第392期】,191,12:41,1574733659
76524072,正片,无人机,摄影,大疆,比手机还要轻的大疆无人机_Mavic Mini【值不值得买第391期】,190,12:52,1574388040
76305729,BBT,,摄影,,TESTV挑战摄影大师【BB Time第236期】,190,17:32,1574215217
76177933,正片,音乐墨镜,穿戴,华为,能出声的潮人墨镜_华为Eyewear智能音乐墨镜【值不值得买第390期】,191,13:12,1574128818
75694735,正片,,电脑,华为,打破传统笔记本的桎梏-华为Matebook X pro Linux版 2019款【值不值得买第389期】,189,12:12,1573783226
75469127,BBT,无人机,开箱,大疆,大疆Mavic Mini开箱试飞体验【BB Time第235期】,190,11:47,1573610449
75399453,正片,耳机,影音,苹果,我最喜欢的入耳式降噪耳机_AirPods Pro【值不值得买第388期】,191,20:56,1573524010
75307190,其它,,广告,,2019双十一的广告们,166,4:41,1573440328
75157922,BBT,手机,开箱,坚果,坚果 Pro 3开箱体验【BB Time第234期】,95,15:57,1573351256
74974598,BBT,双11,节日,,突击大家购物车看看双11都买啥？【BB Time第233期】,191,13:47,1573264828
74911337,正片,,手机,苹果,今年最鲜的水果，你闻出香味了吗—iPhone11【值不值得买第387期】,95,11:24,1573178403
74717945,BBT,手机|汽车,开箱,一加|迈凯轮,一加7T Pro迈凯伦限定版和艾利和AK T9iE开箱【BB Time第232期】,95,15:58,1573012870
74567578,正片,健身环,游戏,任天堂,全新减肥秘诀_健身环大冒险【值不值得买第386期】,191,14:05,1572919211
74188871,BBT,翻译机,旅行,科大讯飞,讯飞翻译机国外好用吗？【BB Time第231期】,191,12:18,1572660007
74094069,正片,,手机,华为,我已不再是以前的华为了-华为Mate 30 Pro【值不值得买第385期】,95,17:16,1572573623
73939450,BBT,跳伞,旅行|运动,,男后期挑战4000米高空跳伞【BB Time第230期】,163,25:19:00,1572487207
73750114,正片,鼠标,外设,罗技,办公鼠标旗舰机-罗技 MX master 3【值不值得买第384期】,189,10:33,1572314410
73296861,正片,音乐墨镜,穿戴,Bose,让生活自带BGM的神器_Bose Frames 智能音乐墨镜【值不值得买第383期】,191,13:11,1571968817
73175992,BBT,显示器|手表,开箱,华为|GoBigger,GoBigger便携显示器和华为WatchGT 2开箱体验【BB Time第229期】,191,15:57,1571882428
73030520,BBT,电脑,开箱,华为,华为 MateBook X Pro开箱体验【BB Time第228期】,189,11:19,1571796049
72051017,正片,,手机,苹果,它很好，可不是我想要_iPhone 11Pro Max【值不值得买第382期】,95,19:51,1571709609
71555231,正片,阅读伴侣,教育,Lighten,拿什么来拯救你，我的英语—Lighten AI英语阅读伴侣【值不值得买第381期】,191,13:15,1571364050
71307932,BBT,太阳能充电板|防窥膜,开箱,,太阳能充电和手机防窥膜【BB Time第227期】,95,9:41,1571191239
71263448,正片,掌机,游戏,任天堂,这个时代唯一的掌机_Switch Lite【值不值得买第380期】,191,12:45,1571104823
